Subject,Word_Type,Trial_2bins,RTc_Outlier,ACC,Error
1,Studied-mixed,1st Half,671.15,0.9111111111111111,0.08888888888888889
1,Studied-mixed,2nd Half,562.6129032258065,0.8857142857142857,0.11428571428571428
1,Unstudied-mixed,1st Half,654.0645161290323,0.8857142857142857,0.11428571428571428
1,Unstudied-mixed,2nd Half,702.7073170731708,0.9111111111111111,0.08888888888888889
1,Unstudied-pure,1st Half,509.54411764705884,0.8625,0.1375
1,Unstudied-pure,2nd Half,558.8,0.875,0.125
2,Studied-mixed,1st Half,913.0232558139535,0.9772727272727273,0.022727272727272728
2,Studied-mixed,2nd Half,1030.5714285714287,0.9722222222222222,0.027777777777777776
2,Unstudied-mixed,1st Half,838.5428571428571,1.0,0.0
2,Unstudied-mixed,2nd Half,806.9767441860465,0.9772727272727273,0.022727272727272728
2,Unstudied-pure,1st Half,794.1038961038961,0.9875,0.0125
2,Unstudied-pure,2nd Half,891.5625,1.0,0.0
3,Studied-mixed,1st Half,743.7777777777778,0.8809523809523809,0.11904761904761904
3,Studied-mixed,2nd Half,677.9166666666666,0.9473684210526315,0.05263157894736842
3,Unstudied-mixed,1st Half,753.4473684210526,1.0,0.0
3,Unstudied-mixed,2nd Half,683.8421052631579,0.9047619047619048,0.09523809523809523
3,Unstudied-pure,1st Half,629.4202898550725,0.925,0.075
3,Unstudied-pure,2nd Half,633.9027777777778,0.925,0.075
4,Studied-mixed,1st Half,562.1764705882352,0.9210526315789473,0.07894736842105263
4,Studied-mixed,2nd Half,550.2571428571429,0.8333333333333334,0.16666666666666666
4,Unstudied-mixed,1st Half,511.6756756756757,0.8809523809523809,0.11904761904761904
4,Unstudied-mixed,2nd Half,574.9444444444445,0.9473684210526315,0.05263157894736842
4,Unstudied-pure,1st Half,547.5972222222222,0.9125,0.0875
4,Unstudied-pure,2nd Half,555.8026315789474,0.95,0.05
5,Studied-mixed,1st Half,609.725,1.0,0.0
5,Studied-mixed,2nd Half,649.1025641025641,1.0,0.0
5,Unstudied-mixed,1st Half,704.1025641025641,1.0,0.0
5,Unstudied-mixed,2nd Half,605.9,0.975609756097561,0.024390243902439025
5,Unstudied-pure,1st Half,573.0632911392405,1.0,0.0
5,Unstudied-pure,2nd Half,601.0632911392405,0.9875,0.0125
6,Studied-mixed,1st Half,617.5833333333334,0.9473684210526315,0.05263157894736842
6,Studied-mixed,2nd Half,690.1111111111111,0.8571428571428571,0.14285714285714285
6,Unstudied-mixed,1st Half,609.8108108108108,0.9285714285714286,0.07142857142857142
6,Unstudied-mixed,2nd Half,757.8529411764706,0.8947368421052632,0.10526315789473684
6,Unstudied-pure,1st Half,548.5833333333334,0.9125,0.0875
6,Unstudied-pure,2nd Half,580.0,0.95,0.05
7,Studied-mixed,1st Half,563.0930232558139,0.9555555555555556,0.044444444444444446
7,Studied-mixed,2nd Half,697.4848484848485,0.9428571428571428,0.05714285714285714
7,Unstudied-mixed,1st Half,539.9,0.8857142857142857,0.11428571428571428
7,Unstudied-mixed,2nd Half,633.2,0.8888888888888888,0.1111111111111111
7,Unstudied-pure,1st Half,605.054794520548,0.925,0.075
7,Unstudied-pure,2nd Half,561.2533333333333,0.9375,0.0625
8,Studied-mixed,1st Half,629.4285714285714,1.0,0.0
8,Studied-mixed,2nd Half,527.6666666666666,0.972972972972973,0.02702702702702703
8,Unstudied-mixed,1st Half,593.9142857142857,0.9459459459459459,0.05405405405405406
8,Unstudied-mixed,2nd Half,582.8536585365854,0.9534883720930233,0.046511627906976744
8,Unstudied-pure,1st Half,639.7105263157895,0.9625,0.0375
8,Unstudied-pure,2nd Half,648.2597402597403,0.9625,0.0375
9,Studied-mixed,1st Half,641.4516129032259,0.8888888888888888,0.1111111111111111
9,Studied-mixed,2nd Half,804.1666666666666,0.9545454545454546,0.045454545454545456
9,Unstudied-mixed,1st Half,583.3658536585366,0.9318181818181818,0.06818181818181818
9,Unstudied-mixed,2nd Half,744.8965517241379,0.8055555555555556,0.19444444444444445
9,Unstudied-pure,1st Half,730.2857142857143,0.8875,0.1125
9,Unstudied-pure,2nd Half,798.9066666666666,0.9375,0.0625
10,Studied-mixed,1st Half,576.0,1.0,0.0
10,Studied-mixed,2nd Half,503.7837837837838,0.925,0.075
10,Unstudied-mixed,1st Half,626.025641025641,0.975,0.025
10,Unstudied-mixed,2nd Half,527.025,1.0,0.0
10,Unstudied-pure,1st Half,507.35897435897436,0.9875,0.0125
10,Unstudied-pure,2nd Half,548.8961038961039,0.9625,0.0375
11,Studied-mixed,1st Half,755.8837209302326,0.9347826086956522,0.06521739130434782
11,Studied-mixed,2nd Half,748.4411764705883,1.0,0.0
11,Unstudied-mixed,1st Half,663.2666666666667,0.9117647058823529,0.08823529411764706
11,Unstudied-mixed,2nd Half,657.6304347826087,1.0,0.0
11,Unstudied-pure,1st Half,772.0657894736842,0.9625,0.0375
11,Unstudied-pure,2nd Half,675.1139240506329,0.9875,0.0125
12,Studied-mixed,1st Half,646.6388888888889,1.0,0.0
12,Studied-mixed,2nd Half,656.9069767441861,1.0,0.0
12,Unstudied-mixed,1st Half,641.9302325581396,1.0,0.0
12,Unstudied-mixed,2nd Half,655.6388888888889,0.972972972972973,0.02702702702702703
12,Unstudied-pure,1st Half,608.2337662337662,0.975,0.025
12,Unstudied-pure,2nd Half,680.6625,1.0,0.0
13,Studied-mixed,1st Half,608.7096774193549,0.9411764705882353,0.058823529411764705
13,Studied-mixed,2nd Half,584.7674418604652,0.9347826086956522,0.06521739130434782
13,Unstudied-mixed,1st Half,628.6428571428571,0.9130434782608695,0.08695652173913043
13,Unstudied-mixed,2nd Half,605.9354838709677,0.9117647058823529,0.08823529411764706
13,Unstudied-pure,1st Half,626.8356164383562,0.925,0.075
13,Unstudied-pure,2nd Half,595.2328767123288,0.9125,0.0875
14,Studied-mixed,1st Half,649.15,0.9523809523809523,0.047619047619047616
14,Studied-mixed,2nd Half,642.8378378378378,0.9736842105263158,0.02631578947368421
14,Unstudied-mixed,1st Half,531.8055555555555,0.9736842105263158,0.02631578947368421
14,Unstudied-mixed,2nd Half,577.9,0.9523809523809523,0.047619047619047616
14,Unstudied-pure,1st Half,526.4666666666667,0.95,0.05
14,Unstudied-pure,2nd Half,527.9350649350649,0.9625,0.0375
15,Studied-mixed,1st Half,594.421052631579,0.975,0.025
15,Studied-mixed,2nd Half,585.5,1.0,0.0
15,Unstudied-mixed,1st Half,514.7948717948718,0.975,0.025
15,Unstudied-mixed,2nd Half,555.8857142857142,0.875,0.125
15,Unstudied-pure,1st Half,544.9866666666667,0.9625,0.0375
15,Unstudied-pure,2nd Half,550.2597402597403,0.9625,0.0375
16,Studied-mixed,1st Half,596.7317073170732,0.9761904761904762,0.023809523809523808
16,Studied-mixed,2nd Half,618.4473684210526,1.0,0.0
16,Unstudied-mixed,1st Half,558.8611111111111,0.9736842105263158,0.02631578947368421
16,Unstudied-mixed,2nd Half,545.525,0.9523809523809523,0.047619047619047616
16,Unstudied-pure,1st Half,553.2467532467532,0.975,0.025
16,Unstudied-pure,2nd Half,588.2051282051282,0.975,0.025
17,Studied-mixed,1st Half,518.7857142857143,0.8333333333333334,0.16666666666666666
17,Studied-mixed,2nd Half,503.725,0.9545454545454546,0.045454545454545456
17,Unstudied-mixed,1st Half,499.7567567567568,0.9318181818181818,0.06818181818181818
17,Unstudied-mixed,2nd Half,451.03333333333336,0.8333333333333334,0.16666666666666666
17,Unstudied-pure,1st Half,504.1917808219178,0.95,0.05
17,Unstudied-pure,2nd Half,563.918918918919,0.925,0.075
18,Studied-mixed,1st Half,800.6578947368421,0.95,0.05
18,Studied-mixed,2nd Half,710.475,1.0,0.0
18,Unstudied-mixed,1st Half,744.6410256410256,1.0,0.0
18,Unstudied-mixed,2nd Half,724.5555555555555,0.9,0.1
18,Unstudied-pure,1st Half,696.68,0.95,0.05
18,Unstudied-pure,2nd Half,623.5540540540541,0.925,0.075
19,Studied-mixed,1st Half,833.1891891891892,0.9302325581395349,0.06976744186046512
19,Studied-mixed,2nd Half,650.9117647058823,0.9459459459459459,0.05405405405405406
19,Unstudied-mixed,1st Half,927.1714285714286,0.9459459459459459,0.05405405405405406
19,Unstudied-mixed,2nd Half,775.125,0.7441860465116279,0.2558139534883721
19,Unstudied-pure,1st Half,906.171052631579,0.9625,0.0375
19,Unstudied-pure,2nd Half,838.8571428571429,0.9625,0.0375
20,Studied-mixed,1st Half,733.8666666666667,0.9375,0.0625
20,Studied-mixed,2nd Half,641.551724137931,0.90625,0.09375
20,Unstudied-mixed,1st Half,764.6206896551724,0.9375,0.0625
20,Unstudied-mixed,2nd Half,696.0,0.9166666666666666,0.08333333333333333
20,Unstudied-pure,1st Half,629.7820512820513,0.9875,0.0125
20,Unstudied-pure,2nd Half,691.3766233766233,0.975,0.025
21,Studied-mixed,1st Half,691.5263157894736,0.9743589743589743,0.02564102564102564
21,Studied-mixed,2nd Half,578.175,0.975609756097561,0.024390243902439025
21,Unstudied-mixed,1st Half,714.3243243243244,0.926829268292683,0.07317073170731707
21,Unstudied-mixed,2nd Half,558.4736842105264,0.9743589743589743,0.02564102564102564
21,Unstudied-pure,1st Half,626.1428571428571,0.975,0.025
21,Unstudied-pure,2nd Half,619.1139240506329,1.0,0.0
22,Studied-mixed,1st Half,1081.40625,0.9722222222222222,0.027777777777777776
22,Studied-mixed,2nd Half,1000.325,0.9772727272727273,0.022727272727272728
22,Unstudied-mixed,1st Half,1083.725,1.0,0.0
22,Unstudied-mixed,2nd Half,1096.5142857142857,1.0,0.0
22,Unstudied-pure,1st Half,924.0394736842105,0.9625,0.0375
22,Unstudied-pure,2nd Half,907.75,0.9625,0.0375
23,Studied-mixed,1st Half,639.0277777777778,0.9487179487179487,0.05128205128205128
23,Studied-mixed,2nd Half,705.3,0.975609756097561,0.024390243902439025
23,Unstudied-mixed,1st Half,606.2051282051282,0.9512195121951219,0.04878048780487805
23,Unstudied-mixed,2nd Half,672.7142857142857,0.8974358974358975,0.10256410256410256
23,Unstudied-pure,1st Half,680.68,0.95,0.05
23,Unstudied-pure,2nd Half,748.943661971831,0.8875,0.1125
24,Studied-mixed,1st Half,713.9024390243902,0.9111111111111111,0.08888888888888889
24,Studied-mixed,2nd Half,757.3428571428572,1.0,0.0
24,Unstudied-mixed,1st Half,758.5151515151515,0.9714285714285714,0.02857142857142857
24,Unstudied-mixed,2nd Half,716.8409090909091,1.0,0.0
24,Unstudied-pure,1st Half,723.5066666666667,0.95,0.05
24,Unstudied-pure,2nd Half,818.2432432432432,0.9375,0.0625
25,Studied-mixed,1st Half,866.175,1.0,0.0
25,Studied-mixed,2nd Half,891.8205128205128,0.975,0.025
25,Unstudied-mixed,1st Half,878.8717948717949,1.0,0.0
25,Unstudied-mixed,2nd Half,802.525,1.0,0.0
25,Unstudied-pure,1st Half,783.3291139240506,1.0,0.0
25,Unstudied-pure,2nd Half,820.1518987341772,0.9875,0.0125
26,Studied-mixed,1st Half,584.8,0.9534883720930233,0.046511627906976744
26,Studied-mixed,2nd Half,593.6285714285714,0.9459459459459459,0.05405405405405406
26,Unstudied-mixed,1st Half,541.9166666666666,0.972972972972973,0.02702702702702703
26,Unstudied-mixed,2nd Half,570.1538461538462,0.9069767441860465,0.09302325581395349
26,Unstudied-pure,1st Half,511.1111111111111,0.9125,0.0875
26,Unstudied-pure,2nd Half,573.7662337662338,0.9625,0.0375
27,Studied-mixed,1st Half,694.6052631578947,0.95,0.05
27,Studied-mixed,2nd Half,626.8205128205128,0.975,0.025
27,Unstudied-mixed,1st Half,739.7105263157895,0.975,0.025
27,Unstudied-mixed,2nd Half,608.1794871794872,0.975,0.025
27,Unstudied-pure,1st Half,645.7922077922078,0.975,0.025
27,Unstudied-pure,2nd Half,653.7894736842105,0.95,0.05
28,Studied-mixed,1st Half,560.1111111111111,0.9473684210526315,0.05263157894736842
28,Studied-mixed,2nd Half,683.9761904761905,1.0,0.0
28,Unstudied-mixed,1st Half,602.4146341463414,1.0,0.0
28,Unstudied-mixed,2nd Half,577.1111111111111,0.9473684210526315,0.05263157894736842
28,Unstudied-pure,1st Half,570.5641025641025,0.9875,0.0125
28,Unstudied-pure,2nd Half,606.6883116883117,0.9625,0.0375
29,Studied-mixed,1st Half,602.6363636363636,0.8947368421052632,0.10526315789473684
29,Studied-mixed,2nd Half,655.974358974359,0.9285714285714286,0.07142857142857142
29,Unstudied-mixed,1st Half,574.0,0.8333333333333334,0.16666666666666666
29,Unstudied-mixed,2nd Half,604.0571428571428,0.9210526315789473,0.07894736842105263
29,Unstudied-pure,1st Half,642.056338028169,0.9,0.1
29,Unstudied-pure,2nd Half,657.7567567567568,0.925,0.075
30,Studied-mixed,1st Half,662.6944444444445,1.0,0.0
30,Studied-mixed,2nd Half,679.8333333333334,0.9767441860465116,0.023255813953488372
30,Unstudied-mixed,1st Half,682.3333333333334,0.9767441860465116,0.023255813953488372
30,Unstudied-mixed,2nd Half,677.3428571428572,0.9459459459459459,0.05405405405405406
30,Unstudied-pure,1st Half,620.5897435897435,0.9875,0.0125
30,Unstudied-pure,2nd Half,669.2179487179487,0.975,0.025
31,Studied-mixed,1st Half,757.081081081081,0.9743589743589743,0.02564102564102564
31,Studied-mixed,2nd Half,767.4358974358975,0.9512195121951219,0.04878048780487805
31,Unstudied-mixed,1st Half,749.225,0.975609756097561,0.024390243902439025
31,Unstudied-mixed,2nd Half,800.3421052631579,0.9743589743589743,0.02564102564102564
31,Unstudied-pure,1st Half,765.1973684210526,0.9625,0.0375
31,Unstudied-pure,2nd Half,724.2564102564103,0.975,0.025
32,Studied-mixed,1st Half,551.5277777777778,0.972972972972973,0.02702702702702703
32,Studied-mixed,2nd Half,508.02564102564105,0.9069767441860465,0.09302325581395349
32,Unstudied-mixed,1st Half,493.3333333333333,0.9302325581395349,0.06976744186046512
32,Unstudied-mixed,2nd Half,600.2777777777778,1.0,0.0
32,Unstudied-pure,1st Half,531.931506849315,0.9375,0.0625
32,Unstudied-pure,2nd Half,541.081081081081,0.9375,0.0625
33,Studied-mixed,1st Half,770.7941176470588,0.9722222222222222,0.027777777777777776
33,Studied-mixed,2nd Half,688.7142857142857,0.9545454545454546,0.045454545454545456
33,Unstudied-mixed,1st Half,771.7209302325581,0.9772727272727273,0.022727272727272728
33,Unstudied-mixed,2nd Half,837.6666666666666,0.9166666666666666,0.08333333333333333
33,Unstudied-pure,1st Half,708.2051282051282,0.9875,0.0125
33,Unstudied-pure,2nd Half,821.7285714285714,0.875,0.125
34,Studied-mixed,1st Half,649.4705882352941,0.875,0.125
34,Studied-mixed,2nd Half,805.0526315789474,0.95,0.05
34,Unstudied-mixed,1st Half,626.3684210526316,0.95,0.05
34,Unstudied-mixed,2nd Half,631.8285714285714,0.875,0.125
34,Unstudied-pure,1st Half,575.2727272727273,0.975,0.025
34,Unstudied-pure,2nd Half,652.3648648648649,0.925,0.075
35,Studied-mixed,1st Half,724.925,0.9761904761904762,0.023809523809523808
35,Studied-mixed,2nd Half,759.7297297297297,0.9736842105263158,0.02631578947368421
35,Unstudied-mixed,1st Half,854.7567567567568,0.9736842105263158,0.02631578947368421
35,Unstudied-mixed,2nd Half,731.4047619047619,1.0,0.0
35,Unstudied-pure,1st Half,788.7866666666666,0.9625,0.0375
35,Unstudied-pure,2nd Half,877.3924050632911,1.0,0.0
36,Studied-mixed,1st Half,538.3055555555555,0.972972972972973,0.02702702702702703
36,Studied-mixed,2nd Half,525.0243902439024,0.9534883720930233,0.046511627906976744
36,Unstudied-mixed,1st Half,545.65,0.9534883720930233,0.046511627906976744
36,Unstudied-mixed,2nd Half,514.6486486486486,1.0,0.0
36,Unstudied-pure,1st Half,527.1232876712329,0.9375,0.0625
36,Unstudied-pure,2nd Half,589.987012987013,0.975,0.025
37,Studied-mixed,1st Half,832.1219512195122,1.0,0.0
37,Studied-mixed,2nd Half,797.1842105263158,0.9743589743589743,0.02564102564102564
37,Unstudied-mixed,1st Half,830.1315789473684,0.9743589743589743,0.02564102564102564
37,Unstudied-mixed,2nd Half,870.9268292682926,1.0,0.0
37,Unstudied-pure,1st Half,878.4871794871794,0.9875,0.0125
37,Unstudied-pure,2nd Half,830.025,1.0,0.0
38,Studied-mixed,1st Half,668.65,1.0,0.0
38,Studied-mixed,2nd Half,642.725,1.0,0.0
38,Unstudied-mixed,1st Half,717.6578947368421,0.975,0.025
38,Unstudied-mixed,2nd Half,642.7,1.0,0.0
38,Unstudied-pure,1st Half,695.828947368421,0.9625,0.0375
38,Unstudied-pure,2nd Half,657.2051282051282,0.9875,0.0125
39,Studied-mixed,1st Half,683.3103448275862,0.9375,0.0625
39,Studied-mixed,2nd Half,704.7659574468086,0.9791666666666666,0.020833333333333332
39,Unstudied-mixed,1st Half,725.0,0.9583333333333334,0.041666666666666664
39,Unstudied-mixed,2nd Half,699.0645161290323,0.96875,0.03125
39,Unstudied-pure,1st Half,918.2179487179487,0.9875,0.0125
39,Unstudied-pure,2nd Half,826.1410256410256,0.9875,0.0125
40,Studied-mixed,1st Half,620.78125,0.8421052631578947,0.15789473684210525
40,Studied-mixed,2nd Half,550.3333333333334,0.8809523809523809,0.11904761904761904
40,Unstudied-mixed,1st Half,538.6774193548387,0.8333333333333334,0.16666666666666666
40,Unstudied-mixed,2nd Half,592.6333333333333,0.7894736842105263,0.21052631578947367
40,Unstudied-pure,1st Half,553.7397260273973,0.9375,0.0625
40,Unstudied-pure,2nd Half,552.1159420289855,0.875,0.125
41,Studied-mixed,1st Half,913.1621621621622,0.9743589743589743,0.02564102564102564
41,Studied-mixed,2nd Half,937.6829268292682,1.0,0.0
41,Unstudied-mixed,1st Half,978.5945945945946,0.926829268292683,0.07317073170731707
41,Unstudied-mixed,2nd Half,908.6486486486486,0.9487179487179487,0.05128205128205128
41,Unstudied-pure,1st Half,985.3037974683544,1.0,0.0
41,Unstudied-pure,2nd Half,950.0,0.9625,0.0375
42,Studied-mixed,1st Half,779.8717948717949,0.975,0.025
42,Studied-mixed,2nd Half,826.0,1.0,0.0
42,Unstudied-mixed,1st Half,789.6153846153846,1.0,0.0
42,Unstudied-mixed,2nd Half,738.4871794871794,1.0,0.0
42,Unstudied-pure,1st Half,634.5466666666666,0.95,0.05
42,Unstudied-pure,2nd Half,673.1298701298701,0.9625,0.0375
43,Studied-mixed,1st Half,705.0277777777778,1.0,0.0
43,Studied-mixed,2nd Half,633.3095238095239,1.0,0.0
43,Unstudied-mixed,1st Half,716.5238095238095,1.0,0.0
43,Unstudied-mixed,2nd Half,639.5675675675676,0.9736842105263158,0.02631578947368421
43,Unstudied-pure,1st Half,644.6883116883117,0.975,0.025
43,Unstudied-pure,2nd Half,594.7733333333333,0.9375,0.0625
44,Studied-mixed,1st Half,712.8717948717949,1.0,0.0
44,Studied-mixed,2nd Half,772.3076923076923,0.9512195121951219,0.04878048780487805
44,Unstudied-mixed,1st Half,715.0263157894736,0.9512195121951219,0.04878048780487805
44,Unstudied-mixed,2nd Half,693.6315789473684,0.9743589743589743,0.02564102564102564
44,Unstudied-pure,1st Half,743.8857142857142,0.9375,0.0625
44,Unstudied-pure,2nd Half,736.056338028169,0.9,0.1
45,Studied-mixed,1st Half,587.7714285714286,0.972972972972973,0.02702702702702703
45,Studied-mixed,2nd Half,675.0,0.8604651162790697,0.13953488372093023
45,Unstudied-mixed,1st Half,742.9024390243902,0.9767441860465116,0.023255813953488372
45,Unstudied-mixed,2nd Half,607.7575757575758,0.8918918918918919,0.10810810810810811
45,Unstudied-pure,1st Half,659.0428571428571,0.8875,0.1125
45,Unstudied-pure,2nd Half,608.3529411764706,0.85,0.15
46,Studied-mixed,1st Half,743.6153846153846,0.9761904761904762,0.023809523809523808
46,Studied-mixed,2nd Half,771.25,0.9736842105263158,0.02631578947368421
46,Unstudied-mixed,1st Half,730.3888888888889,0.9473684210526315,0.05263157894736842
46,Unstudied-mixed,2nd Half,715.6944444444445,0.9523809523809523,0.047619047619047616
46,Unstudied-pure,1st Half,565.3648648648649,0.9625,0.0375
46,Unstudied-pure,2nd Half,652.082191780822,0.9125,0.0875
47,Studied-mixed,1st Half,720.6857142857143,0.8536585365853658,0.14634146341463414
47,Studied-mixed,2nd Half,794.1176470588235,0.8717948717948718,0.1282051282051282
47,Unstudied-mixed,1st Half,779.03125,0.8205128205128205,0.1794871794871795
47,Unstudied-mixed,2nd Half,682.3513513513514,0.9024390243902439,0.0975609756097561
47,Unstudied-pure,1st Half,673.8333333333334,0.8375,0.1625
47,Unstudied-pure,2nd Half,633.8428571428572,0.8875,0.1125
48,Studied-mixed,1st Half,894.5882352941177,0.9473684210526315,0.05263157894736842
48,Studied-mixed,2nd Half,1066.1,0.9761904761904762,0.023809523809523808
48,Unstudied-mixed,1st Half,1011.6052631578947,1.0,0.0
48,Unstudied-mixed,2nd Half,847.4864864864865,1.0,0.0
48,Unstudied-pure,1st Half,912.578947368421,0.9625,0.0375
48,Unstudied-pure,2nd Half,763.1298701298701,0.975,0.025
49,Studied-mixed,1st Half,692.1515151515151,0.9428571428571428,0.05714285714285714
49,Studied-mixed,2nd Half,629.7954545454545,0.9777777777777777,0.022222222222222223
49,Unstudied-mixed,1st Half,628.7380952380952,0.9555555555555556,0.044444444444444446
49,Unstudied-mixed,2nd Half,532.7352941176471,1.0,0.0
49,Unstudied-pure,1st Half,601.9358974358975,0.9875,0.0125
49,Unstudied-pure,2nd Half,575.3636363636364,0.9625,0.0375
50,Studied-mixed,1st Half,617.0,0.825,0.175
50,Studied-mixed,2nd Half,708.90625,0.8,0.2
50,Unstudied-mixed,1st Half,578.2,0.9,0.1
50,Unstudied-mixed,2nd Half,694.0,0.9,0.1
50,Unstudied-pure,1st Half,636.0694444444445,0.9125,0.0875
50,Unstudied-pure,2nd Half,669.0933333333334,0.9375,0.0625
51,Studied-mixed,1st Half,625.258064516129,0.9142857142857143,0.08571428571428572
51,Studied-mixed,2nd Half,644.0,0.9555555555555556,0.044444444444444446
51,Unstudied-mixed,1st Half,642.8636363636364,0.9777777777777777,0.022222222222222223
51,Unstudied-mixed,2nd Half,575.40625,0.9142857142857143,0.08571428571428572
51,Unstudied-pure,1st Half,568.6086956521739,0.875,0.125
51,Unstudied-pure,2nd Half,616.5394736842105,0.95,0.05
52,Studied-mixed,1st Half,836.5,0.9459459459459459,0.05405405405405406
52,Studied-mixed,2nd Half,723.046511627907,1.0,0.0
52,Unstudied-mixed,1st Half,848.8809523809524,0.9767441860465116,0.023255813953488372
52,Unstudied-mixed,2nd Half,850.8918918918919,1.0,0.0
52,Unstudied-pure,1st Half,702.9350649350649,0.975,0.025
52,Unstudied-pure,2nd Half,688.8533333333334,0.9375,0.0625
53,Studied-mixed,1st Half,539.2439024390244,0.8913043478260869,0.10869565217391304
53,Studied-mixed,2nd Half,650.1935483870968,0.9117647058823529,0.08823529411764706
53,Unstudied-mixed,1st Half,545.8125,0.9705882352941176,0.029411764705882353
53,Unstudied-mixed,2nd Half,613.304347826087,1.0,0.0
53,Unstudied-pure,1st Half,578.7662337662338,0.975,0.025
53,Unstudied-pure,2nd Half,585.8076923076923,0.975,0.025
54,Studied-mixed,1st Half,641.3181818181819,1.0,0.0
54,Studied-mixed,2nd Half,775.9166666666666,1.0,0.0
54,Unstudied-mixed,1st Half,692.8285714285714,1.0,0.0
54,Unstudied-mixed,2nd Half,724.6046511627907,0.9772727272727273,0.022727272727272728
54,Unstudied-pure,1st Half,662.9367088607595,1.0,0.0
54,Unstudied-pure,2nd Half,664.95,1.0,0.0
55,Studied-mixed,1st Half,757.4571428571429,0.8974358974358975,0.10256410256410256
55,Studied-mixed,2nd Half,791.15,0.975609756097561,0.024390243902439025
55,Unstudied-mixed,1st Half,815.1794871794872,0.9512195121951219,0.04878048780487805
55,Unstudied-mixed,2nd Half,817.0769230769231,1.0,0.0
55,Unstudied-pure,1st Half,778.8205128205128,0.9875,0.0125
55,Unstudied-pure,2nd Half,790.8157894736842,0.95,0.05
56,Studied-mixed,1st Half,599.40625,0.8888888888888888,0.1111111111111111
56,Studied-mixed,2nd Half,654.8809523809524,0.9545454545454546,0.045454545454545456
56,Unstudied-mixed,1st Half,627.775,0.9318181818181818,0.06818181818181818
56,Unstudied-mixed,2nd Half,635.5588235294117,0.9444444444444444,0.05555555555555555
56,Unstudied-pure,1st Half,528.6986301369863,0.9375,0.0625
56,Unstudied-pure,2nd Half,568.4,0.9375,0.0625
57,Studied-mixed,1st Half,853.6896551724138,0.868421052631579,0.13157894736842105
57,Studied-mixed,2nd Half,653.5,0.5,0.5
57,Unstudied-mixed,1st Half,796.6129032258065,0.7619047619047619,0.23809523809523808
57,Unstudied-mixed,2nd Half,574.4285714285714,0.6578947368421053,0.34210526315789475
57,Unstudied-pure,1st Half,690.8360655737705,0.775,0.225
57,Unstudied-pure,2nd Half,626.6842105263158,0.95,0.05
58,Studied-mixed,1st Half,1006.6571428571428,0.925,0.075
58,Studied-mixed,2nd Half,927.5384615384615,0.975,0.025
58,Unstudied-mixed,1st Half,1051.4324324324325,0.95,0.05
58,Unstudied-mixed,2nd Half,828.4473684210526,0.975,0.025
58,Unstudied-pure,1st Half,800.5909090909091,0.85,0.15
58,Unstudied-pure,2nd Half,650.051724137931,0.725,0.275
59,Studied-mixed,1st Half,775.3243243243244,0.9743589743589743,0.02564102564102564
59,Studied-mixed,2nd Half,796.3421052631579,0.926829268292683,0.07317073170731707
59,Unstudied-mixed,1st Half,801.7692307692307,0.9512195121951219,0.04878048780487805
59,Unstudied-mixed,2nd Half,776.3076923076923,1.0,0.0
59,Unstudied-pure,1st Half,668.078947368421,0.9625,0.0375
59,Unstudied-pure,2nd Half,659.2236842105264,0.95,0.05
60,Studied-mixed,1st Half,654.2702702702703,0.9024390243902439,0.0975609756097561
60,Studied-mixed,2nd Half,742.0588235294117,0.8717948717948718,0.1282051282051282
60,Unstudied-mixed,1st Half,735.2285714285714,0.9230769230769231,0.07692307692307693
60,Unstudied-mixed,2nd Half,748.2857142857143,0.8536585365853658,0.14634146341463414
60,Unstudied-pure,1st Half,576.6811594202899,0.925,0.075
60,Unstudied-pure,2nd Half,686.9571428571429,0.875,0.125
